date,product_id,sales_amount,store_location
2/10/2025,P001,150,New York
2/10/2025,P002,300,Los Angeles
2/10/2025,P003,450,Chicago
2/10/2025,P004,600,Houston
2/10/2025,P005,750,Seattle
2/10/2025,P001,900,New York
2/10/2025,P002,950,Los Angeles
2/11/2025,P001,150,New York
2/11/2025,P002,300,Los Angeles
2/11/2025,P003,450,Chicago
2/11/2025,P004,600,Houston
2/11/2025,P005,750,Seattle
2/11/2025,P001,900,New York
2/11/2025,P002,950,Los Angeles
2/12/2025,P001,150,New York
2/12/2025,P002,300,Los Angeles
2/12/2025,P003,450,Chicago
2/12/2025,P004,600,Houston
2/12/2025,P005,750,Seattle
2/12/2025,P001,900,New York
2/12/2025,P002,950,Los Angeles
2/13/2025,P001,150,New York
2/13/2025,P002,300,Los Angeles
2/13/2025,P003,450,Chicago
2/13/2025,P004,600,Houston
2/13/2025,P005,750,Seattle
2/13/2025,P001,900,New York
2/13/2025,P002,950,Los Angeles
2/14/2025,P001,150,New York
